8_cell_neg_1	0.2	0.001	0.25	0.25	0	0	1	0	0	1	neg	I  reluctantly  bought  this  phone 	0.9613927546660349	0.03860724533396514
8_cell_neg_2	0.001	0.6	0.001	0.125	0	0	0	0	0	1	pos	because  my  Kyocera  Slider  suddenly  died  on  me  conveniently 	0.0001462467829034253	0.9998537532170966
8_cell_neg_3	0.001	0.001	0.001	0.001	0	0	0	0	0	0	pos	3  months  after  VM  's  warranty  was  up 	0.5084431174453807	0.4915568825546193
8_cell_neg_4	0.001	0.001	0.001	0.001	0	0	0	0	0	0	pos	and  i  had  just  purchased  a  $  20  phone 	0.5084431174453807	0.4915568825546193
8_cell_neg_5	0.001	0.001	0.001	0.001	0	0	0	0	0	0	pos	card  +  had  airtime  credits 	0.5084431174453807	0.4915568825546193
8_cell_neg_6	0.5	0.001	0.625	0.001	1	0	0	0	0	0	pos	which  were  not  refundable  . 	0.9999364365978303	6.35634021696849e-05
8_cell_neg_7	0.5	0.001	0.625	0.001	1	0	0	0	0	0	neg	Now  i  am  not  a  teen 	0.9999364365978303	6.35634021696849e-05
8_cell_neg_8	0.45	0.001	0.625	0.5	1	0	0	0	1	0	pos	and  my  phone  and  things  do  not  receive  harsh  treatment  . 	0.9999476095841693	5.2390415830764345e-05
8_cell_neg_9	0.001	0.4	0.001	0.25	0	0	0	0	1	1	pos	My  kyocera  slider  actually  looked  like  new 	0.0037952968187335845	0.9962047031812664
8_cell_neg_10	0.3670000000000001	0.2005	0.1875	0.1875	0	0	2	0	0	2	pos	when  it  died  with  no  scratches  what-so-ever  so  i  was  pretty  upset  . 	0.9349420395328871	0.06505796046711285
8_cell_neg_11	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	After  multiple  calls  and  2  emails  to  VM 	0.5084431174453807	0.4915568825546193
8_cell_neg_12	0.12575	0.3333333333333333	0.25	0.3125	0	0	2	0	1	1	neg	it  was  pretty  clear  they  were  n't  going  to  do  anything  to  help  . 	0.04739865873382465	0.9526013412661753
8_cell_neg_13	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	I  was  offered  a  replacement  slider  at  $  20  . 	0.5084431174453807	0.4915568825546193
8_cell_neg_14	0.5	0.001	0.25	0.5	0	0	2	0	1	0	neg	Obviously  I  did  n't  want  the  same  one 	0.9994762004139466	0.0005237995860534712
8_cell_neg_15	0.2	0.001	0.001	0.001	0	0	0	0	0	0	neg	that  could  possibly  die  on  me 	0.9190267018484038	0.08097329815159614
8_cell_neg_16	0.001	0.001	0.125	0.125	0	0	1	0	0	1	neg	after  a  couple  of  months  so  like  i  was  saying 	0.5545688635152808	0.4454311364847192
8_cell_neg_17	0.5	0.001	0.25	0.001	0	0	1	0	0	0	neg	I  had  no  other  recourse 	0.9983896629347492	0.0016103370652508036
8_cell_neg_18	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	but  to  purchase  this  Audiovox  8610  . 	0.5084431174453807	0.4915568825546193
8_cell_neg_19	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	By  the  way  AFTER 	0.5084431174453807	0.4915568825546193
8_cell_neg_20	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	I  PURCHASED  THE  PHONE  AT  A  LOCAL  STORE  IN  TOWN 	0.5084431174453807	0.4915568825546193
8_cell_neg_21	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	-LRB- 	0.5084431174453807	0.4915568825546193
8_cell_neg_22	0.001	0.001	0.001	0.25	0	0	0	0	0	1	neg	when  i  called  to  activate  the  phone  -RRB- 	0.741577130600252	0.258422869399748
8_cell_neg_23	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	they  have  the  nerve 	0.5084431174453807	0.4915568825546193
8_cell_neg_24	0.001	0.2	0.001	0.001	0	0	0	0	0	0	neg	to  tell  me  that  I  could  `  ve  purchased  the  same  8610  from  them  at  a  discount  price  of  $  24.99 	0.04420392904622805	0.955796070953772
8_cell_neg_25	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	because  the  slider  died  . 	0.5084431174453807	0.4915568825546193
8_cell_neg_26	0.001	0.001	0.125	0.001	0	0	1	0	0	0	neg	The  f  !  @  %  ng  idiots  ! 	0.4238987329092794	0.5761012670907206
8_cell_neg_27	0.5	0.001	0.625	0.001	1	0	0	0	0	0	neg	HELLO  COULD  YA  NOT  HAVE  TOLD  ME  SOONER  ?  ?  ? 	0.9999364365978303	6.35634021696849e-05
8_cell_neg_28	0.001	0.001	0.001	0.125	0	0	0	0	0	1	neg	and  after  i  spent 	0.6426062177379402	0.35739378226205976
8_cell_neg_29	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	$  50  +  tax  . 	0.5084431174453807	0.4915568825546193
8_cell_neg_30	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	sheesh  ! 	0.5084431174453807	0.4915568825546193
8_cell_neg_31	0.001	0.001	0.001	0.125	0	0	0	0	0	1	neg	Anyway  back  to  the  phone  review  .  . 	0.6426062177379402	0.35739378226205976
8_cell_neg_32	0.001	0.001	0.25	0.001	0	0	1	0	0	0	neg	the  ringer  is  indeed  low 	0.3932136400390539	0.6067863599609461
8_cell_neg_33	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	as  others  have  reported  here  . 	0.5084431174453807	0.4915568825546193
8_cell_neg_34	0.5	0.001	0.2083333333333333	0.001	0	0	3	0	0	0	neg	Its  so  low  that  if  its  in  my  purse  i  ca  n't  even  hear  it  ! 	0.9972668398324926	0.0027331601675073098
8_cell_neg_35	0.001	0.001	0.001	0.001	0	0	0	0	0	0	neg	WTF  ?  ?  ? 	0.5084431174453807	0.4915568825546193
8_cell_neg_36	0.5	0.001	0.25	0.001	0	0	1	0	0	0	neg	Also  the  battery  life  sucks  ,  no  sooner  does  the  thing  ring  and  the  batteries  at  half  . 	0.9983896629347492	0.0016103370652508036
