8_cell_neg_1	neg
8_cell_neg_7	neg
8_cell_neg_11	neg
8_cell_neg_12	neg
8_cell_neg_13	neg
8_cell_neg_14	neg
8_cell_neg_15	neg
8_cell_neg_16	neg
8_cell_neg_17	neg
8_cell_neg_18	neg
8_cell_neg_19	neg
8_cell_neg_20	neg
8_cell_neg_21	neg
8_cell_neg_22	neg
8_cell_neg_23	neg
8_cell_neg_24	neg
8_cell_neg_25	neg
8_cell_neg_26	neg
8_cell_neg_27	neg
8_cell_neg_28	neg
8_cell_neg_29	neg
8_cell_neg_30	neg
8_cell_neg_31	neg
8_cell_neg_32	neg
8_cell_neg_33	neg
8_cell_neg_34	neg
8_cell_neg_35	neg
8_cell_neg_36	neg
8_cell_neg_37	neg
8_cell_neg_38	neg
8_cell_neg_39	neg
8_cell_neg_40	neg
8_cell_neg_41	neg
8_cell_neg_42	neg
8_cell_neg_43	neg
8_cell_neg_44	neg
8_cell_neg_45	neg
8_cell_neg_46	neg
8_cell_neg_47	neg
8_cell_neg_48	neg
8_cell_neg_49	neg
8_cell_neg_50	neg
8_cell_neg_51	neg
8_cell_neg_52	neg
8_cell_neg_53	neg
8_cell_neg_54	neg
9_cell_pos_8	neg
9_cell_pos_31	neg
9_cell_pos_39	neg
9_cell_pos_41	neg
9_cell_pos_42	neg
9_cell_pos_43	neg
9_cell_pos_46	neg
9_cell_pos_47	neg
9_cell_pos_50	neg
9_cell_pos_51	neg
9_cell_pos_53	neg
9_cell_pos_54	neg
9_cell_pos_55	neg
9_cell_pos_56	neg
9_cell_pos_57	neg
9_cell_pos_58	neg
9_cell_pos_59	neg
9_cell_pos_60	neg
9_cell_pos_61	neg
9_cell_pos_62	neg
9_cell_pos_63	neg
9_cell_pos_64	neg
9_cell_pos_65	neg
9_cell_pos_66	neg
9_cell_pos_67	neg
9_cell_pos_68	neg
9_cell_pos_69	neg
9_cell_pos_70	neg
9_cell_pos_71	neg
9_cell_pos_72	neg
9_cell_pos_73	neg
9_cell_pos_79	neg
9_cell_pos_80	neg
9_cell_pos_86	neg
9_cell_pos_87	neg
4_kitchen_pos_8	neg
4_kitchen_pos_75	neg
4_kitchen_pos_83	neg
4_kitchen_pos_84	neg
9_kitchen_neg_2	neg
9_kitchen_neg_3	neg
9_kitchen_neg_4	neg
9_kitchen_neg_5	neg
9_kitchen_neg_6	neg
9_kitchen_neg_7	neg
9_kitchen_neg_8	neg
9_kitchen_neg_9	neg
9_kitchen_neg_10	neg
9_kitchen_neg_11	neg
9_kitchen_neg_12	neg
9_kitchen_neg_13	neg
9_kitchen_neg_14	neg
9_kitchen_neg_15	neg
9_kitchen_neg_16	neg
9_kitchen_neg_17	neg
9_kitchen_neg_18	neg
9_kitchen_neg_19	neg
9_kitchen_neg_20	neg
9_kitchen_neg_21	neg
9_kitchen_neg_22	neg
9_kitchen_neg_23	neg
9_kitchen_neg_24	neg
9_kitchen_neg_25	neg
9_kitchen_neg_26	neg
9_kitchen_neg_27	neg
9_kitchen_neg_28	neg
9_kitchen_neg_29	neg
9_kitchen_neg_30	neg
9_kitchen_neg_34	neg
9_kitchen_neg_35	neg
9_kitchen_neg_36	neg
9_kitchen_neg_37	neg
9_kitchen_neg_38	neg
9_kitchen_neg_39	neg
9_kitchen_neg_40	neg
9_kitchen_neg_41	neg
9_kitchen_neg_42	neg
9_kitchen_neg_43	neg
9_kitchen_neg_44	neg
4_gourmet_neg_6	neg
4_gourmet_neg_7	neg
4_gourmet_neg_8	neg
4_gourmet_neg_9	neg
4_gourmet_neg_10	neg
4_gourmet_neg_11	neg
4_gourmet_neg_12	neg
4_gourmet_neg_13	neg
4_gourmet_neg_14	neg
4_gourmet_neg_15	neg
4_gourmet_neg_16	neg
4_gourmet_neg_17	neg
4_gourmet_neg_21	neg
4_gourmet_neg_22	neg
4_gourmet_neg_25	neg
4_gourmet_neg_26	neg
4_gourmet_neg_27	neg
4_gourmet_neg_28	neg
4_gourmet_neg_29	neg
4_gourmet_neg_30	neg
4_gourmet_neg_31	neg
4_gourmet_neg_32	neg
4_gourmet_neg_33	neg
4_gourmet_neg_34	neg
4_gourmet_neg_35	neg
4_gourmet_neg_36	neg
4_gourmet_neg_37	neg
4_gourmet_neg_38	neg
19_cell_neg_1	neg
19_cell_neg_2	neg
19_cell_neg_3	neg
19_cell_neg_4	neg
19_cell_neg_6	neg
19_cell_neg_7	neg
19_cell_neg_11	neg
19_cell_neg_12	neg
19_cell_neg_13	neg
19_cell_neg_14	neg
19_cell_neg_15	neg
19_cell_neg_16	neg
19_cell_neg_17	neg
19_cell_neg_20	neg
19_cell_neg_21	neg
19_cell_neg_22	neg
19_cell_neg_23	neg
19_cell_neg_25	neg
19_cell_neg_28	neg
19_cell_neg_29	neg
19_cell_neg_30	neg
19_cell_neg_31	neg
19_cell_neg_32	neg
19_cell_neg_33	neg
19_cell_neg_34	neg
19_cell_neg_35	neg
19_cell_neg_36	neg
20_cell_pos_5	neg
20_cell_pos_6	neg
20_cell_pos_7	neg
20_cell_pos_8	neg
20_cell_pos_9	neg
20_cell_pos_10	neg
20_cell_pos_11	neg
20_cell_pos_12	neg
20_cell_pos_13	neg
20_cell_pos_14	neg
20_cell_pos_15	neg
20_cell_pos_16	neg
20_cell_pos_17	neg
20_cell_pos_18	neg
20_cell_pos_19	neg
20_cell_pos_20	neg
20_cell_pos_21	neg
20_cell_pos_22	neg
20_cell_pos_37	neg
20_cell_pos_38	neg
20_cell_pos_39	neg
20_cell_pos_41	neg
20_cell_pos_49	neg
20_cell_pos_50	neg
20_cell_pos_51	neg
20_cell_pos_54	neg
20_cell_pos_55	neg
20_cell_pos_68	neg
20_cell_pos_69	neg
20_cell_pos_70	neg
9_kitchen_pos_16	neg
9_kitchen_pos_39	neg
9_kitchen_pos_51	neg
9_kitchen_pos_53	neg
9_kitchen_pos_54	neg
9_kitchen_pos_55	neg
9_kitchen_pos_56	neg
9_kitchen_pos_57	neg
9_kitchen_pos_58	neg
9_kitchen_pos_59	neg
9_kitchen_pos_60	neg
9_kitchen_pos_61	neg
9_kitchen_pos_64	neg
9_kitchen_pos_65	neg
9_kitchen_pos_66	neg
9_kitchen_pos_67	neg
9_kitchen_pos_68	neg
9_kitchen_pos_69	neg
8_kitchen_neg_2	neg
8_kitchen_neg_3	neg
8_kitchen_neg_4	neg
8_kitchen_neg_5	neg
8_kitchen_neg_6	neg
8_kitchen_neg_7	neg
8_kitchen_neg_8	neg
8_kitchen_neg_9	neg
8_kitchen_neg_10	neg
8_kitchen_neg_11	neg
8_kitchen_neg_12	neg
8_kitchen_neg_13	neg
8_kitchen_neg_14	neg
8_kitchen_neg_15	neg
8_kitchen_neg_16	neg
8_kitchen_neg_17	neg
8_kitchen_neg_18	neg
8_kitchen_neg_19	neg
8_kitchen_neg_20	neg
8_kitchen_neg_21	neg
8_kitchen_neg_22	neg
8_kitchen_neg_23	neg
8_kitchen_neg_24	neg
8_kitchen_neg_25	neg
8_kitchen_neg_26	neg
8_kitchen_neg_27	neg
8_kitchen_neg_28	neg
8_kitchen_neg_29	neg
